Ts,x,y,life
0,2.49653,-0.01418,2
0,3.73759,-0.00353,1
0,2.09947,0.00474,500
0,2.43615,0.01027,1
0,3.84427,-0.00599,500
0,2.70819,-0.00679,1
0,2.90566,0.01121,198
0,2.46855,0.00270,15
0,2.83106,0.00073,10
0,1.63291,0.00879,324
0,1.62672,0.01281,500
0,1.54272,0.00351,4
0,1.52577,0.01276,1
0,3.45297,-0.01168,4
0,1.20613,0.00209,11
0,3.83753,-0.00983,2
0,1.05544,0.00674,2
0,1.09044,0.01060,2
0,1.13746,-0.00194,2
1,2.60353,-0.00207,499
1,3.73000,0.01152,107
1,1.95776,0.02199,1
1,1.96534,0.00870,499
1,1.99314,0.00172,8
1,2.93709,0.01419,197
1,3.93450,0.00796,2
1,2.69745,-0.00247,3
1,1.06547,0.02802,43
1,3.19795,0.01247,1
1,2.16404,0.00092,7
1,3.18529,0.01218,1
1,3.79021,0.01269,31
1,3.81808,0.01547,3
1,3.03002,0.01265,5
1,2.30237,-0.01262,3
1,2.30930,-0.00279,5
1,3.23011,-0.01146,1
1,3.55537,0.00073,499
1,1.09204,0.02150,499
1,1.73282,0.02373,1
1,3.53076,0.00314,8
1,1.28483,0.00528,3
1,3.47206,-0.00708,499
1,1.15396,0.00209,1
1,3.43842,-0.00604,499
1,3.36805,0.00377,5
1,3.88628,-0.00667,499
1,2.69554,0.00656,2
1,3.65237,0.00373,4
1,1.49453,0.00670,499
1,3.34877,-0.00221,499
1,2.31798,0.00704,499
1,3.89479,-0.00224,499
1,2.74501,-0.00325,1
1,2.74153,0.00244,14
1,1.11131,0.01145,499
1,1.64548,0.01154,499
1,1.53221,0.00365,3
2,2.40501,0.00958,498
2,2.76760,0.00181,261
2,2.90880,0.01232,196
2,1.01749,0.02894,498
2,1.92836,-0.00013,3
2,3.03516,0.01116,4
2,1.07032,0.02504,498
2,3.75314,0.02080,3
2,3.97195,-0.02638,498
2,1.21177,0.00624,498
2,3.35805,-0.00527,291
2,1.58870,0.01125,498
2,2.37366,-0.00700,3
2,1.58967,0.00436,85
2,1.77927,0.01224,498
2,1.79376,0.01251,498
2,1.83552,0.01247,498
2,2.06827,0.01550,498
2,3.14490,0.00376,4
2,2.71170,0.00413,498
3,3.32528,0.00186,497
3,3.48033,-0.00632,497
3,3.22234,0.00059,3
3,3.20562,0.00705,497
3,3.65290,0.01573,1
3,2.85509,0.00245,7
3,2.43201,-0.01004,1
3,1.11403,0.01320,497
3,2.72377,0.00432,12
3,1.63914,0.01380,497
3,3.99191,-0.02665,497
3,1.09071,0.01681,497
3,1.40239,0.00133,497
3,2.01689,0.00173,6
3,2.24049,-0.00940,2
3,2.16938,0.01041,497
3,1.15912,0.00781,497
3,1.22953,0.00713,4
4,3.16915,0.00565,496
4,1.33409,0.00469,496
4,1.54808,0.00767,496
4,2.65782,-0.00313,496
4,3.67517,0.00799,496
4,2.44464,0.00771,496
4,1.10321,0.02387,87
4,2.64078,0.00526,496
4,1.28544,-0.00520,7
4,3.37476,-0.00449,496
5,1.81075,0.02256,1
5,3.07934,0.01613,193
5,1.36703,0.01075,1
5,3.67861,0.01272,39
5,2.45930,0.02102,1
5,3.86292,-0.00845,495
5,1.39677,-0.00036,495
5,1.47677,0.00867,495
6,3.75125,0.01323,102
6,3.18147,0.01074,494
6,2.25087,0.01719,326
6,2.32194,0.00341,4
6,2.44138,0.00093,4
7,2.22554,0.02082,1
7,2.25147,0.02110,1
7,3.85839,-0.00260,493
7,3.20464,0.00786,493
8,2.18922,0.00568,492
9,3.00386,0.03266,13
10,2.12898,0.02916,5
11,3.96620,-0.04184,1
11,2.45579,0.01948,9
11,2.04287,0.03177,2
12,3.91316,-0.00969,488
12,3.99866,-0.04358,3
14,1.12666,0.01002,486
15,3.13963,0.03564,1
15,2.48482,0.01812,1
17,2.06461,0.01780,483
22,2.48122,-0.01564,1
81,1.14603,-0.00889,1
137,2.52168,0.02998,5
138,2.47269,0.03246,4
139,2.58639,0.03203,2
196,2.99917,-0.00846,304
200,2.88388,-0.02116,1
205,3.00446,-0.01682,295
228,3.08599,-0.02742,1
340,3.70104,-0.02015,1
