R,spdF2pN,stdevF2pN,spdF4pN,stdevF4pN,spdF5pN,stdevF5pN,spdF6pN,stdevF6pN,spdF8pN,stdevF8pN,spdF9.2pN,stdevF9.2pN,spdF10pN,stdF10pN
0.1,5.985288418570357,3.4594133851567404,6.058614959172401,3.4315388616158824,0.07428153044876883,0.1807434397098599,0.05717291297532338,0.03836090292711754,0.04468999442335535,0.029017000619279486,0.04061533621900909,0.025589887109210074,0.04593114187521445,0.02190499346759386
0.2,6.682882198855298,3.78674444096166,5.6532306410353605,2.806727313925531,1.4283670499662466,2.1486068107536718,0.08776450058669091,0.100007878907821,0.037265468513350095,0.024716085823800863,0.043782376596785286,0.030243087649051918,0.053283890567779234,0.030820760197369467
0.3,5.950533248614999,3.5527406257669485,7.297202055593305,3.470602688516448,2.278056725706095,1.2029313175625125,0.555057395254087,1.2591845302172824,0.07225364493632525,0.06083404457205991,0.05530021008787823,0.06298884564549134,0.052181191011283684,0.06927092596703559
0.4,6.2452351760279425,2.7796231809272567,6.682067759072388,3.4291181042300742,3.618316074426982,1.4887205364603833,1.3028490675577191,0.8795994470931146,0.04787699017624829,0.026348986575085977,0.05146437259121624,0.05077399663688213,0.053335539630076055,0.04708494042325954
0.5,6.726853965350696,4.011843135125384,6.717071975217857,2.1866771002505287,4.879015271736888,1.12012215504774,1.7897393023254442,1.0051551282932996,0.2980868149784284,0.3320645544567307,0.06709667920704536,0.06745599789815203,0.04780600446109831,0.09054959739971484
0.6,7.101385867804088,1.6975315262259507,6.7466336100956745,3.7189723058828883,5.573753155177176,0.7613948468211327,3.2756169917023064,0.9851978857409854,0.5041011307731424,0.6505235054461896,0.1843134294562173,0.20498307804744312,0.07599342442670251,0.1178731848731758
0.7,7.209485254343685,0.9426305386074014,7.03547109930038,0.7933874804377915,6.293859207598188,0.7120858400326477,4.345557474784537,0.8248955381992584,1.6190797793968017,1.372122794141418,0.4610949118450726,0.4016114669862957,0.2873009212611983,0.6441184916679846
0.8,7.192364377245022,1.0473556292819364,7.0981228998586685,0.7448402406748243,6.557400583765898,0.8404740460601244,5.7215647395911455,0.8618533562935101,2.9781282157573834,1.3058152345502076,1.3942756705694188,1.4225691605647848,0.8564085377967813,1.3092632773296822
0.9,7.187467570505269,0.6874726917686497,7.225846301052487,0.8596020877352875,6.887527988608558,0.6309756658150856,6.422395325453168,0.6622259478203979,5.255086830531481,0.8716166397683011,4.329816556709097,1.1073156639063888,3.115360025934005,1.3009975636655675
1.0,7.270702295285861,0.871268838474603,7.270702295285861,0.871268838474603,7.270702295285861,0.871268838474603,7.270702295285861,0.871268838474603,7.270702295285861,0.871268838474603,7.270702295285861,0.871268838474603,7.270702295285861,0.871268838474603
